N,P,K,temp,pH,Location
87,54,20,25.61707368,6.576418207,muzafargarh
87,35,25,21.44526922,6.178056304,layyah
63,43,19,18.51816776,6.641906353,d.g.khan
84,57,25,22.53510514,6.489040367,rajanpur
64,35,23,23.02038334,5.680361038,bahawalnagar
60,46,22,24.89364635,6.625404348,ryk
98,44,21,25.77175115,6.524478032,bahawalnagar
75,56,18,19.39851734,5.696205468,gujrat
86,55,21,21.54156232,6.803931519,m.b.din
98,35,18,23.79746068,6.252797548,sialkot
76,57,18,18.9802729,6.092725883,narowall
99,56,17,24.10859207,6.234330356,gujranwala
60,44,23,24.7947077,5.722579819,hafizabad
74,48,17,21.63162756,6.430616465,shekupora
89,60,17,25.37548751,5.983952675,nankana sahib
69,51,23,22.21738222,6.80163854,lahore
96,46,22,20.58314011,6.499936446,kasur
61,60,15,24.87502824,6.265564338,okara
74,58,18,20.03728219,6.727303282,sahiwal
74,43,23,25.95263264,6.325235159,pakpatan
63,43,17,19.28889933,6.807487794,multan
99,36,20,20.57981887,6.671085817,lodhran
77,36,23,24.71417533,6.648725327,khanewal
87,60,23,20.27317074,6.439071996,vihari
60,38,17,18.41932981,6.474476516,muzafargarh
94,54,17,23.39128187,5.871647806,layyah
95,38,22,19.84939404,5.730617109,d.g.khan
84,44,21,21.869274,5.850439831,rajanpur
77,58,19,22.8056033,5.791649933,bahawalnagar
66,44,20,19.0781471,6.740000688,ryk
63,35,16,22.02720976,6.272417541,bahawalnagar
79,45,20,23.80546189,5.715208817,attock
72,60,25,18.52510753,5.773454729,rawalpindi 
67,51,24,23.50297882,5.584171461,isl
86,36,24,26.54986394,5.787268394,jehlum
76,48,18,19.29563411,5.77597783,chakwall
75,53,18,20.68899915,6.864793607,sarjodha
81,45,23,19.32666088,6.192360003,khushab
73,45,21,24.60532218,6.636803223,mianwali
71,35,24,22.27373646,5.826426917,bakar
96,54,22,25.70196694,6.960358276,faisalabad
99,39,18,19.20129357,6.11275104,tobataiksingh
62,48,20,21.70181447,6.708446922,jhang
86,37,16,20.51716779,5.561510732,gujrat
94,50,19,23.30355338,5.873242491,m.b.din
76,39,24,24.2547451,6.995843776,sialkot
77,52,17,24.86374934,5.714799723,narowall
74,39,23,22.6265115,6.78073637,gujranwala
81,49,20,18.04185513,5.513697923,hafizabad
63,42,21,23.26237612,5.798423908,shekupora
99,38,21,22.88330922,6.352471866,nankana sahib
90,52,25,25.97482359,6.822586546,lahore
68,40,19,26.14384005,6.655426355,m.b.din
60,57,24,18.66116213,6.121294041,sialkot
71,52,18,25.10787449,5.790770203,narowall
61,59,17,23.33844615,6.47444292,gujranwala
88,38,15,25.08239719,6.455116637,hafizabad
65,60,22,25.36768364,6.606984086,shekupora
78,37,22,25.34217103,6.330554389,nankana sahib
78,58,15,25.00933355,6.528631266,lahore
92,60,23,18.66746724,5.721667141,kasur
79,59,17,20.37999665,6.644205485,okara
91,55,15,18.09300227,6.376651091,sahiwal
76,51,18,26.16985907,6.247040422,pakpatan
87,48,25,18.65396672,6.656730008,multan
71,60,22,26.07470121,6.2048017,lodhran
90,57,24,18.92851916,6.158860284,khanewal
67,35,22,23.30546753,6.385684214,vihari
60,54,19,18.74826712,6.417820493,muzafargarh
83,58,23,19.74213321,6.381201909,layyah
83,57,19,25.73044432,6.877869005,d.g.khan
40,72,77,17.02498456,7.485996067,ryk
23,72,84,19.02061277,6.920251378,bahawalnagar
39,58,85,17.88776475,5.996932037,bwp
22,72,85,18.86805647,6.391173589,rajanpur
36,67,77,18.36952567,7.152811172,digikhan
32,73,81,20.45078582,5.988992796,layyah
58,70,84,20.6543203,6.231049028,m.garh
59,70,84,17.3348681,7.550808267,vihari
42,62,75,18.17912258,7.010570541,khanewal
28,74,81,18.01272266,8.753795334,lodhran
58,66,79,20.99373558,8.718192847,multan
43,66,79,19.46233971,7.976607593,pakpatan
58,63,81,19.81344531,6.515499549,sahiwal
23,62,85,18.97424756,8.490127142,okara
27,62,77,18.19737048,6.576415562,kasur
28,72,84,18.72963144,6.481783043,lahore
50,56,76,20.99502153,7.966605025,nankana sahib
39,71,84,20.28155898,8.140825437,shekupora
25,78,76,17.48042641,7.228963452,hafizabad
31,70,77,20.88818675,6.492546046,gujranwala
26,80,83,17.08498521,7.528599957,narowall
25,68,77,20.09340593,7.701446446,sialkot
31,78,76,17.57212145,8.519975748,gujrat
60,68,83,19.12065218,6.620900869,gujrat
59,62,83,18.57665902,8.104396058,gujrat
22,67,78,17.16606398,6.204090835,chainiot
36,65,80,18.2872007,6.051091339,jhang
59,60,84,19.03025305,7.690962338,faisalabad
54,77,85,17.1418614,7.829211144,bakar
43,68,81,17.47809436,6.761599706,mianwali
28,76,82,20.56601874,6.654425315,sialkot
42,79,85,17.22385224,6.129533877,gujrat
32,60,83,19.69141713,8.829273328,gujrat
22,78,76,17.84851658,8.621662982,gujrat
31,79,75,18.8202251,8.204862075,chainiot
28,58,81,17.47500984,6.18042747,jhang
57,58,77,18.72649425,7.978996755,faisalabad
49,55,78,18.65580107,7.863113671,bakar
46,76,77,18.2356751,6.967843048,mianwali
54,61,77,18.81198127,6.206582193,rajanpur
38,60,76,18.65054116,8.868741443,digikhan
59,55,79,20.36720401,8.766128654,layyah
36,76,75,18.38120357,8.736337905,m.garh
57,68,81,17.17012591,8.081095263,vihari
35,66,81,19.37101121,6.138243973,khanewal
35,64,78,17.92845928,7.496645259,lodhran
52,60,79,19.45339934,8.380185271,multan
27,76,83,19.12829388,6.289614016,pakpatan
57,60,84,19.1034283,6.586777189,sahiwal
52,68,78,17.48504075,6.89655198,gujrat
43,79,79,19.40751744,7.806747656,mianwali
44,74,85,20.18649426,7.150681303,bakar
24,55,78,17.30287885,6.64919573,tobataiksingh
29,77,75,17.50361137,7.778591618,faisalabad
20,60,78,18.17234999,6.358740355,jhang
56,67,78,17.57445618,8.255450758,narowall
37,66,85,20.93175255,6.456148474,multan
49,71,76,19.71098332,6.613072145,khanewal
59,69,80,19.07937684,8.165359297,lodhran
20,79,77,18.54988627,7.64867466,jhang
24,56,85,18.19903647,6.545888558,jhang
51,72,75,18.88852533,7.104224797,jhang
57,73,85,18.49311205,7.358099622,jhang
22,64,82,19.48974337,6.4740245,bakar
52,73,79,17.25769499,7.840339389,bakar
29,75,75,19.62416326,7.064790365,bakar
44,59,78,20.67526473,7.599033472,gujrat
41,69,82,20.02381489,6.715587232,gujrat
52,56,85,20.1187446,6.81712422,gujrat
34,76,80,20.65691793,7.985417393,ryk
42,74,83,19.2582557,7.545258424,bahawalnagar
34,71,79,17.927806,7.728998197,bwp
27,73,79,19.16288268,7.354973451,rajanpur
30,70,79,20.26942271,7.313122235,digikhan
57,57,75,17.09104223,7.785039076,layyah
27,79,82,17.06579293,6.307004923,m.garh
32,71,85,20.62767492,6.403982316,vihari
31,76,82,20.8248451,7.599279991,khanewal
33,75,84,19.46210401,7.217018459,lodhran
47,80,77,17.18248372,7.561108006,multan
54,62,80,17.48911699,7.489545074,pakpatan
47,79,78,17.48395377,6.609696734,sahiwal
35,57,83,19.48316794,7.476800943,okara
53,73,77,19.71359733,7.325451279,kasur
45,61,78,19.48649305,6.489389282,lahore
37,78,79,19.95264829,7.786366322,nankana sahib
30,75,81,19.41789736,6.408437886,shekupora
37,55,82,19.45591848,8.423873703,hafizabad
53,65,76,20.19137759,8.719960893,gujranwala
22,60,85,18.8392908,7.811997977,narowall
60,61,78,20.71219282,6.317153205,sialkot
42,67,77,18.99424448,7.114405288,gujrat
39,76,76,19.96837462,8.135900726,gujrat
35,63,76,17.81564548,7.714153038,gujrat
30,65,82,20.71424384,7.103798069,chainiot
57,56,78,17.34150229,8.861479668,jhang
48,65,78,17.43732714,7.861128148,faisalabad
36,56,83,18.89780215,7.4526709,bakar
40,58,75,18.59190771,7.168096055,mianwali
49,69,82,18.31561493,7.26311855,sialkot
13,60,25,17.13692774,5.68597166,attock
25,70,16,19.63474332,5.759237003,rawalpindi 
31,55,22,22.91350245,5.873171894,isl
40,64,16,16.43340342,5.926676985,jehlum
2,61,20,22.13974653,5.95561668,chakwall
26,65,22,17.84806561,5.949949081,sarjodha
17,57,21,19.88394011,5.789214289,khushab
26,80,18,19.32509638,5.581021521,mianwali
17,59,17,18.4167001,5.689858133,bakar
27,59,22,21.81167649,5.794158504,faisalabad
28,58,24,19.72702528,5.748190463,tobataiksingh
25,57,19,17.15432954,5.566522896,jhang
28,80,17,19.62207826,5.809419584,gujrat
25,60,22,21.63149148,5.887263027,m.b.din
12,78,23,16.06522754,5.99812453,sialkot
6,77,25,20.61162204,5.792744849,narowall
22,79,17,21.42451099,5.912289889,gujranwala
27,80,15,19.07096165,5.788386951,hafizabad
10,55,23,21.18853178,5.728233081,shekupora
23,65,20,23.0429097,5.833940084,nankana sahib
19,78,16,20.65375833,5.967533236,lahore
19,65,25,18.09551014,5.625096446,kasur
22,70,19,18.23775702,5.515615023,okara
37,64,22,17.48189735,5.954665349,sahiwal
11,71,17,19.9191786,5.74644777,pakpatan
18,79,20,20.27514686,5.877347515,multan
21,63,17,15.77370214,5.979973965,lodhran
24,80,22,16.71170642,5.635993966,khanewal
34,60,22,17.66148158,5.635231778,vihari
16,75,21,18.50692825,5.679224346,muzafargarh
17,77,23,24.51324787,5.670062975,layyah
37,72,18,18.87614998,5.724242065,d.g.khan
40,73,20,21.59343016,5.811314232,rajanpur
9,77,17,20.12373284,5.783425416,bahawalnagar
1,62,23,15.43546065,5.607808432,ryk
33,59,22,22.64236876,5.946999529,bahawalnagar
23,59,19,21.98560799,5.852046999,gujrat
6,62,22,20.53052663,5.824090984,m.b.din
25,63,20,15.78601387,5.502999119,sialkot
7,79,23,19.6365349,5.821649914,narowall
8,72,17,20.57341244,5.711439256,gujranwala
27,64,15,20.16080524,5.514927264,hafizabad
28,66,23,21.53989176,5.99616119,shekupora
32,57,18,15.53834801,5.695422863,nankana sahib
27,56,22,19.91853092,5.833010958,lahore
17,77,24,20.76952209,5.568456899,kasur
0,65,15,23.46168338,5.645435626,okara
13,72,21,24.32116642,5.821194486,sahiwal
34,60,23,20.12574053,5.659254981,pakpatan
9,80,19,21.80619564,5.945465949,multan
11,72,20,19.52226241,5.951177452,lodhran
3,67,24,17.00067625,5.520880014,khanewal
35,69,23,16.78791503,5.578410206,vihari
3,77,25,24.84906168,5.608165195,muzafargarh
23,62,19,16.51783455,5.609435128,layyah
22,71,17,18.15300153,5.509295379,d.g.khan
31,79,25,23.18864385,5.902033406,rajanpur
34,59,18,23.38002569,5.744117663,bahawalnagar
12,63,17,18.358923,5.717143397,ryk
27,56,20,19.25975367,5.542690119,bahawalnagar
7,63,24,22.95458237,5.858617867,attock
24,67,22,20.120043,5.618844277,rawalpindi 
11,71,24,21.14011423,5.606620346,isl
37,74,15,24.92360104,5.582178402,jehlum
25,76,24,15.33042636,5.56503533,chakwall
34,66,17,18.81097271,5.889614577,sarjodha
20,69,15,23.44260668,5.934136378,khushab
37,65,16,22.8352024,5.683548308,mianwali
18,74,15,24.9035819,5.70836603,bakar
4,67,25,23.78709569,5.948164454,faisalabad
37,56,25,22.05592283,5.774755144,tobataiksingh
5,59,15,18.87492997,5.97229163,jhang
11,61,21,18.62328774,5.532100554,gujrat
22,80,20,23.00884744,5.669560726,m.b.din
12,61,19,19.33162606,5.655726817,sialkot
5,74,21,16.24469193,5.591704014,narowall
27,69,22,17.91652287,5.932323085,gujranwala
31,75,18,15.46789263,5.824208309,hafizabad
36,68,20,17.06104474,5.86442953,shekupora
5,65,16,21.32776028,5.866744372,nankana sahib
32,79,15,23.90910104,5.706198621,lahore
11,78,22,23.89756791,5.940546818,m.b.din
0,55,22,22.98666928,5.916779289,sialkot
14,59,15,21.35135729,5.779090476,narowall
29,68,23,24.1638445,5.82738029,gujranwala
32,68,19,24.62835037,5.514234138,hafizabad
17,64,17,21.02213209,5.662699104,shekupora
13,69,19,17.30844532,5.86390397,nankana sahib
14,67,22,23.82576704,5.624690248,lahore
9,69,20,19.30607278,5.591560999,kasur
20,73,22,16.03768615,5.976312538,okara
40,78,20,19.18572809,5.669236258,sahiwal
27,72,23,19.92889503,5.961934481,pakpatan
14,67,15,19.56376468,5.690065688,multan
7,56,18,18.31357543,5.698371311,lodhran
27,65,18,20.10993761,5.59503163,khanewal
30,63,16,23.60506572,5.525904526,vihari
37,70,25,19.73136909,5.819403771,muzafargarh
27,63,19,20.93409877,5.562201934,layyah
22,60,24,18.78226261,5.630664753,d.g.khan
3,72,24,36.51268371,6.03160778,ryk
40,59,23,36.89163721,5.269084669,bahawalnagar
33,73,23,29.23540524,5.985792703,bwp
27,57,24,27.33534897,6.09186275,rajanpur
10,79,18,21.0643684,5.624731338,digikhan
30,75,25,30.33276599,6.446091759,layyah
40,70,20,31.80130272,5.623490043,m.garh
38,55,19,33.18184225,5.864623352,vihari
35,58,20,29.38538562,5.761702519,khanewal
38,61,21,30.27374995,4.696518678,lodhran
33,58,24,35.45790488,5.269504214,multan
16,56,17,33.80020039,7.445444883,pakpatan
31,72,17,28.69180475,5.833031708,sahiwal
16,80,20,31.24021696,7.339320929,okara
27,72,17,28.98039357,6.347929353,kasur
40,62,19,27.32198928,4.697750704,lahore
18,58,16,21.47607807,4.962661422,nankana sahib
3,68,16,18.31910448,4.964887857,shekupora
26,67,24,36.97794384,5.642813116,hafizabad
16,70,20,24.80467592,5.6093956,gujranwala
24,63,19,19.3479443,4.681576043,narowall
9,76,25,28.88302142,5.70951224,sialkot
16,55,19,19.54314136,6.413543781,gujrat
28,75,21,24.7741949,6.007508163,gujrat
16,71,24,18.33124824,4.946369874,gujrat
24,70,21,19.14729038,5.517208078,chainiot
38,72,21,28.23416057,5.902103172,jhang
9,66,21,30.11812084,5.719889876,faisalabad
34,56,17,33.4126864,4.548202098,bakar
1,76,19,24.18553163,6.669529416,mianwali
6,69,19,26.88630675,4.750929218,sialkot
26,73,21,31.33170829,4.946263888,gujrat
27,61,18,33.30711818,5.266227032,gujrat
27,71,23,23.45379018,7.10959773,gujrat
36,61,21,34.53823889,5.617008201,chainiot
17,73,18,19.50112224,5.632353113,jhang
26,72,22,28.76794904,4.674941549,faisalabad
17,64,16,30.97758716,7.161797643,bakar
14,74,19,18.39759147,6.624966131,mianwali
39,60,15,35.09357419,5.004074624,rajanpur
6,66,15,34.93174223,6.345806011,digikhan
8,59,18,29.50523036,6.216814453,layyah
2,67,18,34.51934775,5.921666758,m.garh
1,76,17,28.43430726,6.012719118,vihari
16,73,19,18.41645629,4.684079249,khanewal
23,75,25,31.07508973,7.077170002,lodhran
32,70,20,20.89342749,6.208843215,multan
28,59,22,30.90607799,7.05181629,pakpatan
5,62,23,27.9348279,4.722222454,sahiwal
36,67,25,35.95176642,6.418062652,gujrat
1,66,23,19.54317155,4.803564468,mianwali
24,73,20,19.63736208,4.608695247,bakar
17,67,18,31.2192752,5.611510977,tobataiksingh
5,55,18,33.50876355,7.322097972,faisalabad
5,56,24,24.80710166,5.023115055,jhang
37,77,17,36.20970524,5.617122801,narowall
13,73,20,30.50420876,5.391560418,multan
6,63,23,26.01630259,5.906596905,khanewal
16,77,22,31.48469278,6.574209678,lodhran
25,64,20,33.15122581,4.807776749,jhang
34,75,24,23.50222822,4.760038039,jhang
20,77,23,34.87248659,5.180271502,jhang
35,80,25,28.09269012,4.895927306,jhang
14,75,24,24.54757829,6.436160044,bakar
36,80,21,33.64769646,7.066087261,bakar
7,77,18,20.5591255,6.655918078,bakar
29,78,25,19.95991719,5.982854523,gujrat
30,60,21,28.87667593,5.457871273,gujrat
20,74,16,36.04353699,4.759490199,gujrat
19,57,23,23.6734328,7.342409555,ryk
3,60,19,25.74679443,4.820788186,bahawalnagar
5,77,19,31.08564994,6.242052013,bwp
5,68,20,18.72987676,5.001038726,rajanpur
37,73,21,29.50304807,5.560224583,digikhan
9,59,24,20.43517772,4.747352458,layyah
20,72,15,36.00415838,7.313517308,m.garh
31,56,23,31.46846241,5.661826398,vihari
0,70,21,36.30049702,4.672437054,khanewal
21,74,15,29.49096726,6.471862118,lodhran
13,67,18,30.5753044,5.384762927,multan
27,74,20,24.69487673,5.859813416,pakpatan
29,72,24,23.17409556,6.962386495,sahiwal
5,68,20,19.04380471,6.12166671,okara
39,57,19,29.32379604,6.421748487,kasur
22,62,16,34.6455408,4.828936119,lahore
18,55,23,21.9989826,6.98571967,nankana sahib
39,77,21,22.99774444,4.603563116,shekupora
13,75,20,30.55992394,6.979540061,hafizabad
27,71,24,31.46417866,7.064973419,gujranwala
26,64,22,25.95058595,5.16516459,narowall
23,55,16,21.01142393,5.111488821,sialkot
4,69,19,19.25100056,5.374358869,gujrat
20,67,19,19.24462755,5.671419084,gujrat
7,74,17,22.47253208,5.667419697,gujrat
17,64,18,36.75087487,6.07938452,chainiot
35,71,17,29.89286629,6.931924963,jhang
11,72,22,29.37735586,6.842744374,faisalabad
20,60,22,29.65052947,6.876572503,bakar
10,71,18,19.54284889,6.151029296,mianwali
33,61,24,20.04611791,4.567446499,sialkot
3,49,18,27.91095209,3.692863601,attock
22,59,23,27.32220619,4.371745575,rawalpindi 
36,58,25,28.66024187,8.399135958,isl
4,43,18,29.02955344,8.840656256,jehlum
29,54,16,27.78031515,8.153022903,chakwall
32,43,22,31.99928579,5.270749441,sarjodha
14,55,15,27.33580911,8.050304395,khushab
5,35,20,28.92952635,9.679240873,mianwali
25,57,24,27.65472156,6.974978386,bakar
11,53,24,28.52396666,7.39389918,faisalabad
40,49,17,31.02215872,6.68727523,tobataiksingh
38,56,25,25.74095321,7.88118645,jhang
27,43,23,31.70447482,5.875333778,gujrat
24,38,22,24.47876451,8.202706015,m.b.din
23,45,21,31.46511256,8.985348193,sialkot
29,57,20,25.60973447,5.87707519,narowall
31,35,23,30.30260453,7.707595055,gujranwala
0,55,25,28.17489437,4.524171562,hafizabad
7,45,22,25.50634557,9.926212291,shekupora
17,58,25,31.12896766,6.455592696,nankana sahib
11,44,17,26.34043268,8.016210782,lahore
22,49,22,28.23494706,3.71105919,kasur
9,51,19,27.04453473,5.49091063,okara
28,48,15,25.16125354,9.254089438,sahiwal
26,50,19,27.3179125,6.005242945,pakpatan
36,56,20,25.4123765,7.437078236,multan
8,60,18,31.21629982,3.808429173,lodhran
24,37,21,30.573999,5.818219385,khanewal
22,43,24,25.42517036,4.52363558,vihari
36,43,24,27.09400578,3.510404312,muzafargarh
22,44,24,24.30935081,6.030447288,layyah
17,43,22,30.06142622,5.498340808,d.g.khan
8,45,15,28.09568993,4.61136408,rajanpur
7,56,23,26.33908791,5.545219232,bahawalnagar
36,57,16,28.61409059,8.292875734,ryk
11,45,19,28.70012137,3.828031463,bahawalnagar
6,36,22,24.21610338,8.869532817,gujrat
17,57,20,28.50677929,3.793575185,m.b.din
4,47,20,25.97948991,4.193189124,sialkot
9,49,16,30.88482722,7.661537348,narowall
25,51,24,25.5042419,9.392694614,gujranwala
36,44,21,25.12528913,4.516154055,hafizabad
21,38,20,27.10508014,5.794289715,shekupora
37,57,20,31.1006247,7.354286985,nankana sahib
32,48,18,26.45707778,5.993513566,lahore
29,44,20,30.04132304,8.620107545,kasur
25,51,18,27.77799528,9.45949344,okara
10,44,24,30.99256944,8.0344125,sahiwal
23,35,18,26.4908332,5.414492777,pakpatan
9,60,23,31.96987867,6.276004336,multan
3,58,21,25.36140526,9.160691747,lodhran
22,42,22,25.54249137,7.887658711,khanewal
12,39,21,28.99319096,8.183844843,vihari
39,36,22,29.34317422,9.072011412,muzafargarh
32,41,16,28.63618921,7.702287236,layyah
30,41,15,24.83206631,5.88509677,d.g.khan
19,36,22,25.44689075,6.16496284,rajanpur
4,46,15,31.01274943,3.504752314,bahawalnagar
21,39,20,27.06179658,7.388007483,ryk
35,57,25,27.0956288,8.340398059,bahawalnagar
22,55,24,28.56800579,8.66077954,attock
35,51,17,28.79929247,3.558822825,rawalpindi 
17,56,17,27.94293692,5.9565851,isl
28,57,17,30.47757686,9.416003106,jehlum
22,36,16,30.58139475,8.18422855,chakwall
11,41,19,26.85911286,5.131779302,sarjodha
38,38,18,26.31051759,6.294130313,khushab
23,37,24,28.77833449,7.991902443,mianwali
25,35,20,28.90245417,8.923095695,bakar
40,45,20,29.37687468,6.878498176,faisalabad
23,58,19,24.17093241,5.243634849,tobataiksingh
2,56,23,26.65333029,7.550090941,jhang
3,56,17,28.19912143,8.709291688,gujrat
26,51,25,28.76488954,7.792508068,m.b.din
39,42,20,29.3499706,8.055908858,sialkot
27,59,20,28.00937423,4.397698806,narowall
24,45,19,26.85851927,5.952384957,gujranwala
7,40,17,31.2123945,8.532078733,hafizabad
15,45,23,24.20422636,7.224193642,shekupora
26,52,23,29.98835437,4.931890506,nankana sahib
20,45,16,29.93964907,4.626212446,lahore
34,54,24,31.2119298,5.026003659,m.b.din
19,51,25,26.80474415,3.5253661,sialkot
29,41,21,31.49398069,8.86979671,narowall
20,50,22,30.99694676,9.406887533,gujranwala
11,40,23,29.61253065,5.80428611,hafizabad
15,54,15,29.97604322,8.35495812,shekupora
35,55,22,30.88883074,8.634929739,nankana sahib
9,59,25,30.39321309,7.699200949,lahore
40,45,18,30.43683729,5.261285926,kasur
35,38,19,25.32688786,9.112771682,okara
14,58,17,30.53684308,4.605700542,sahiwal
40,55,18,30.38257873,7.115994051,pakpatan
18,36,23,24.01825377,7.214078621,multan
35,52,15,28.69841277,9.93509073,lodhran
4,59,22,29.33743412,8.914074888,khanewal
22,51,16,27.96583691,8.639586199,vihari
33,47,17,24.86803974,8.621514073,muzafargarh
2,51,17,25.87682261,5.838508699,layyah
16,51,21,31.01963639,3.532008668,d.g.khan
19,55,20,27.43329405,7.18530147,ryk
8,54,20,28.3340432,7.034214276,bahawalnagar
36,55,20,27.01470397,6.635968698,bwp
10,56,16,28.17432665,6.828187499,rajanpur
22,56,17,29.87888063,6.89077995,digikhan
9,57,24,29.89232778,7.165121109,layyah
